Ecological.Group,Wt.Best.guess_1,Wt.Lower_1,Wt.Upper_1,Wt.Best.guess_2,Wt.Lower_2,Wt.Upper_2,Wt.Best.guess_3,Wt.Lower_3,Wt.Upper_3,Wt.Best.guess_4,Wt.Lower_4,Wt.Upper_4,Wt.Best.guess_5,Wt.Lower_5,Wt.Upper_5,Wt.Best.guess_6,Wt.Lower_6,Wt.Upper_6,Wt.Best.guess_7,Wt.Lower_7,Wt.Upper_7,Wt.Best.guess_8,Wt.Lower_8,Wt.Upper_8,Wt.Best.guess_9,Wt.Lower_9,Wt.Upper_9,Wt.Best.guess_10,Wt.Lower_10,Wt.Upper_10,Wt.Best.guess_11,Wt.Lower_11,Wt.Upper_11,Wt.Best.guess_12,Wt.Lower_12,Wt.Upper_12,Wt.Best.guess_13,Wt.Lower_13,Wt.Upper_13,Wt.Best.guess_14,Wt.Lower_14,Wt.Upper_14,Wt.Best.guess_15,Wt.Lower_15,Wt.Upper_15,Wt.Best.guess_16,Wt.Lower_16,Wt.Upper_16,Wt.Best.guess_17,Wt.Lower_17,Wt.Upper_17,Wt.Best.guess_18,Wt.Lower_18,Wt.Upper_18,Wt.Best.guess_19,Wt.Lower_19,Wt.Upper_19,Wt.Best.guess_20,Wt.Lower_20,Wt.Upper_20,Wt.Best.guess_21,Wt.Lower_21,Wt.Upper_21,Wt.Best.guess_22,Wt.Lower_22,Wt.Upper_22,Wt.Best.guess_23,Wt.Lower_23,Wt.Upper_23
Migratory Fish,4.029850746268656,2.7263681592039792,4.268656716417912,3.134328358208955,1.9630419331911875,3.023454157782516,6.26865671641791,4.864324991583436,4.813750794897692,14.776119402985074,11.357154959391455,13.544801424104598,14.432835820895521,12.118056334867017,15.791860247634009,35.32835820895522,31.236172080772604,32.99886540149929,6.26865671641791,2.7321288295365274,8.2096285489844,4.029850746268656,4.37676280252871,4.385890098380279,8.955223880597014,5.282235439344629,8.803800546141472,16.283582089552237,13.834474245314778,17.3504956420903,0,0,0,0,0,0,7.791044776119402,4.467736505442711,7.3013129839524185,4.477611940298507,1.1002132196162044,3.9658848614072495,5.3731343283582085,3.2225427484426605,5.704251849993728,15.850746268656716,8.90412598660831,15.424980361351137,8.955223880597014,6.554445816032617,9.814461526951709,18.462686567164177,12.542999289267943,17.447940747390863,16.567164179104477,10.37676280252871,15.979351363483335,23.089552238805968,19.61770096884001,24.646160176560805,7.611940298507462,5.603486327759697,9.112258257584259,27.579928655361474,26.17640342678636,24.384069098474438,38.014925373134325,35.94361861005203,32.18703021966536
Riparian Species,9.704545454545455,10.023535288241172,13.534715284715285,12.318181818181818,10.26163052633641,15.097846597846598,13.863636363636365,13.052352875882288,16.04437066201772,13.500000000000002,12.784845873081169,15.333734892558422,11.704545454545455,11.388655462184875,12.591142517613106,14.090909090909092,15.75566590272473,13.107376283846872,4.318181818181818,5.9942279942279955,5.738095238095237,6.454545454545455,7.555131143366437,9.183372183372184,3.295454545454546,5.831614463967407,3.6539979628214923,0,0,0,0,0,0,0,0,0,1.3636363636363638,3.5858585858585865,2.3448773448773452,4.272727272727273,3.635403811874401,5.2693972693972695,3.704545454545455,4.866755793226383,4.238095238095238,9.318181818181818,6.467809967809968,10.65195915195915,14.204545454545455,10.167389799742741,15.4855259119965,18.181818181818183,15.654042036394978,18.76090576090576,14.545454545454547,8.534188034188034,15.224109224109224,10.681818181818183,8.255411255411257,9.921356421356421,16.931818181818183,12.213480963480963,16.252608502608506,24.250967572105466,17.806922511094662,23.641713085092334,23.40909090909091,18.294692235868705,21.425407925407928
Aquatic Species,5.555555555555555,4.987789987789986,3.933523266856598,3.9999999999999996,5.382716049382717,2.814814814814814,6.111111111111112,9.810337810337812,1.773029439696106,5.555555555555555,7.533577533577534,5.032560032560031,10,12.236738570071905,11.006783340116673,7.777777777777779,12.710183788615161,12.340731164260577,0,0,0,0.5555555555555556,3.222222222222223,0.5555555555555556,8.333333333333334,13.331433998100666,9.713336046669376,4.444444444444445,7.467236467236466,4.126441459774792,0,0,0,0,0,0,7.222222222222222,7.1941391941391934,6.568283568283569,0.5555555555555556,0.5555555555555564,0,5.555555555555555,8.163191202406889,3.3906006847183314,7.777777777777778,10.2663139329806,9.470899470899468,8.333333333333332,8.827838827838825,6.232125898792566,14.444444444444445,12.68688102021435,13.219780219780219,11.666666666666666,8.476868810202141,10.71280571280571,10,11.320987654320989,11.666123999457334,7.777777777777778,9.286528286528286,2.5825532492199152,22.331263804107756,21.71897402387,16.022112394728925,18.88888888888889,19.546992586208273,14.648774609558918
Wetland Species,8.389830508474576,7.4703094623333905,9.859830764117902,4.220338983050847,4.66247265529419,5.660144109795157,7.372881355932203,7.060561904031495,7.207644465869791,12.23728813559322,8.326108852928394,11.033054682107524,4.661016949152542,3.0145278450363193,2.594834543987087,2.9661016949152543,2.4495560936238903,2.0298627925746575,2.5762711864406778,2.161817843173776,2.653194263363755,10.966101694915254,9.095435087962768,10.565539740908372,5.11864406779661,4.018670971213344,4.86682808716707,0,0,0,0,0,0,0,0,0,1.7288135593220337,0.8635996771589991,2.776432606941081,4.23728813559322,5.056993853604023,7.063078164773079,0.847457627118644,1.580575733118106,2.1226795803066985,2.11864406779661,2.093085821899382,2.2437449556093623,12.35593220338983,10.73008666308766,10.401871309149474,15.271186440677965,13.487082342715443,13.095420697614117,11.457627118644067,9.22156631448755,10.262375267360312,5,3.0344680244979343,3.093339030527466,11.016949152542372,9.798791659210403,10.853959489054203,22.19521900724497,15.259534977573534,17.511008574794364,20.169491525423727,14.28887452416864,16.625219579357164
"Grassland, Open, or Agricult Assoc",6.2105263157894735,4.143648595172141,6.0600344091300595,0.9473684210526315,0.3789473684210526,0.6232686980609418,19.789473684210527,11.97214087851207,15.816687174647091,6.1684210526315795,5.325920063316185,5.9701436253171645,0,0,0,0,0,0,1.3789473684210527,1.4586831451097386,1.6934984520123844,1.8651685393258428,1.498613745804757,2.0231585994970005,1.4526315789473685,1.757347915242652,2.6760082023239917,0,0,0,0,0,0.044321329639889114,0,0,0.044321329639889114,4.149425287356322,3.1422056467428523,4.2393208727147025,2.473684210526316,2.9789473684210526,2.2441444167694775,10.578947368421053,9.421168305378831,9.96214035272207,12.586206896551724,7.468970835577006,11.391019748551509,21,12.436537163341791,16.19710242503138,7.526315789473685,6.226848855885844,6.635159105193326,15.347368421052632,9.60233174028188,14.693526613520095,0.2631578947368421,0.2631578947368421,0.11455108359133119,18.789473684210527,10.874396517609814,15.347248873010647,27.241379310344833,18.77140542102643,24.122135968725058,27.24137931034483,18.77140542102643,24.122135968725058
Mature Forest and Peatland Species,13.125,9.284188034188034,5.972222222222221,14.375,9.764957264957264,5.3418803418803424,10.625,7.895299145299146,5.386904761904761,3.75,2.569444444444444,4.970238095238093,0,0,0,0,0,0,0,0,0,3.125,0.9027777777777777,3.6507936507936503,0,0,0,0,0,0,0,0,0,1.875,1.25,0,2.5,3.541666666666667,1.458333333333334,0.625,1.791666666666667,1.791666666666666,1.25,2.0833333333333335,2.083333333333334,10.625,8.541666666666666,7.916666666666666,16.875,8.341727716727718,8.967490842490843,6.25,3.4027777777777777,5.2480158730158735,12.5,7.291666666666666,9.629329004329003,0,0,0,14.375,7.964743589743589,6.180555555555555,18.125,12.46565934065934,12.13217338217338,18.125,12.46565934065934,12.13217338217338
Forest Openings and Young Forest Species,12.5,10.057477025898077,10.23738892686261,20,19.70021206863312,14.210116199589885,9.8,8.062605231026284,7.035217414164783,1.5,0.24285714285714308,0.5857142857142854,0,0,0,0,0,0,0,0,0,0.5263157894736842,0.7769423558897242,1.0275689223057645,1,1.476190476190476,1.9523809523809526,0,0,0,0,0,0,1.5,0.23684210526315788,1.0789473684210524,0,0,0,0,0.5714285714285715,0.5714285714285715,1,1.342857142857143,1.6857142857142855,7,4.926900584795321,6.9,21.2,18.681723539618275,14.283620473094158,2,0.2984126984126981,0.6412698412698411,10,9.103091060985799,10.285714285714286,0,0,0,14,10.435132703553755,8.974218763692448,21.5,21.849122807017547,16.369423558897246,21.5,21.849122807017547,16.369423558897246
Bats,5.5,6.200000000000001,3.6111111111111107,1.6,2.405128205128206,0.21111111111111108,1.6,1.0285714285714285,0.15555555555555572,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0.02941176470588234,0.02941176470588225,15.8,14.085807656395891,13.736601307189542,0,0,0,0,0,0,0,0.5,0,1,1.8,1.3,0,0,0,5.5,5.633699633699634,3.756565656565656,0,0.5,0,1.5,1.8294117647058823,1.3294117647058823,0.5,0.02941176470588234,0.02941176470588225,6.5,8.829778065072183,3.6111111111111107,17.8,17.40204697263521,15.236601307189542,17.8,17.40204697263521,15.236601307189542
Forest Trees,0.625,2.6289682539682535,3.6726190476190492,6.25,4.519841269841269,6.702380952380954,1.875,3.0694444444444446,3.9861111111111116,0.625,0.125,0.125,0,0,0,0,0,0,0,0,0,0.625,0.125,0.125,0,0,0,0,0.8928571428571423,0.19047619047619158,0,0.8928571428571423,0.19047619047619158,15.625,6.055555555555555,8.781746031746032,0,0,0,0,0,0,0,0,0,1.875,0.625,2.541666666666668,6.25,3.894841269841269,6.702380952380954,0.625,0.125,0.125,2.5,0.06944444444444442,3.142857142857144,7.5,4.166666666666666,6.388888888888888,1.875,3.0694444444444446,3.9861111111111116,16.875,11.267857142857142,16.56746031746032,16.875,11.267857142857142,16.56746031746032
