Ecological.Group,Wt.Best.guess,Wt.Lower,Wt.Upper,Wt.Best.guess_1,Wt.Lower_1,Wt.Upper_1,Wt.Best.guess_2,Wt.Lower_2,Wt.Upper_2,Wt.Best.guess_3,Wt.Lower_3,Wt.Upper_3,Wt.Best.guess_4,Wt.Lower_4,Wt.Upper_4,Wt.Best.guess_5,Wt.Lower_5,Wt.Upper_5,Wt.Best.guess_6,Wt.Lower_6,Wt.Upper_6,Wt.Best.guess_7,Wt.Lower_7,Wt.Upper_7,Wt.Best.guess_8,Wt.Lower_8,Wt.Upper_8,Wt.Best.guess_9,Wt.Lower_9,Wt.Upper_9,Wt.Best.guess_10,Wt.Lower_10,Wt.Upper_10,Wt.Best.guess_11,Wt.Lower_11,Wt.Upper_11,Wt.Best.guess_12,Wt.Lower_12,Wt.Upper_12,Wt.Best.guess_13,Wt.Lower_13,Wt.Upper_13,Wt.Best.guess_14,Wt.Lower_14,Wt.Upper_14,Wt.Best.guess_15,Wt.Lower_15,Wt.Upper_15,Wt.Best.guess_16,Wt.Lower_16,Wt.Upper_16,Wt.Best.guess_17,Wt.Lower_17,Wt.Upper_17,Wt.Best.guess_18,Wt.Lower_18,Wt.Upper_18,Wt.Best.guess_19,Wt.Lower_19,Wt.Upper_19,Wt.Best.guess_20,Wt.Lower_20,Wt.Upper_20,Wt.Best.guess_21,Wt.Lower_21,Wt.Upper_21,Wt.Best.guess_22,Wt.Lower_22,Wt.Upper_22,Wt.Best.guess_23,Wt.Lower_23,Wt.Upper_23
Migratory Fish,37.208955223880594,19.884239876384413,57.44820317153388,41.23880597014925,22.610608035588392,61.7168598879518,40.34328358208955,21.847281809575602,60.4716573293164,43.4776119402985,24.74856486796785,62.26195396643158,51.98507462686567,31.241394835775868,70.99300459563848,51.64179104477611,32.00229621125143,73.2400634191679,72.53731343283582,51.12041195715702,90.44706857303316,43.4776119402985,22.61636870592094,65.65783172051829,41.23880597014925,24.261002678913123,61.83409326991416,46.16417910447761,25.16647531572904,66.25200371767535,53.492537313432834,33.71871412169919,74.79869881362418,37.208955223880594,19.884239876384413,57.44820317153388,37.208955223880594,19.884239876384413,57.44820317153388,44.99999999999999,24.351976381827125,64.7495161554863,41.6865671641791,20.984453096000617,61.41408803294113,42.5820895522388,23.106782624827073,63.152455021527615,53.05970149253731,28.788365862992723,72.87318353288502,46.16417910447761,26.43868569241703,67.2626646984856,55.67164179104477,32.42723916565235,74.89614391892475,53.776119402985074,30.261002678913123,73.42755453501722,60.29850746268656,39.501940845224425,82.09436334809469,44.82089552238806,25.48772620414411,66.56046142911813,64.78888387924206,46.06064330317078,81.83227227000832,75.22388059701493,55.82785848643644,89.63523339119925
Riparian Species,50.68181818181819,33.84476960947549,64.36595104242163,60.38636363636364,43.86830489771666,77.90066632713692,63.00000000000001,44.1064001358119,79.46379764026823,64.54545454545455,46.897122485357784,80.41032170443935,64.18181818181819,46.62961548255666,79.69968593498005,62.38636363636364,45.23342507166036,76.95709356003474,64.77272727272728,49.60043551220022,77.4733273262685,55.00000000000001,39.83899760370349,70.10404628051687,57.13636363636364,41.39990075284193,73.54932322579381,53.977272727272734,39.6763840734429,68.01994900524312,50.68181818181819,33.84476960947549,64.36595104242163,50.68181818181819,33.84476960947549,64.36595104242163,50.68181818181819,33.84476960947549,64.36595104242163,52.045454545454554,37.43062819533408,66.71082838729897,54.95454545454546,37.480173421349896,69.6353483118189,54.38636363636364,38.711525402701874,68.60404628051687,60.00000000000001,40.31257957728546,75.01791019438078,64.88636363636364,44.012159409218235,79.85147695441813,68.86363636363637,49.49881164587047,83.12685680332739,65.22727272727273,42.378957643663526,79.59006026653086,61.363636363636374,42.10018086488675,74.28730746377805,67.61363636363637,46.05825057295645,80.61855954503014,74.93278575392365,51.651692120570154,88.00766412751396,74.0909090909091,52.1394618453442,85.79135896782955
Aquatic Species,52.77777777777777,28.96214896214896,69.50278116944783,58.33333333333333,33.94993894993895,73.43630443630443,56.77777777777777,34.344865011531674,72.31759598426264,58.888888888888886,38.77248677248677,71.27581060914393,58.33333333333333,36.495726495726494,74.53534120200786,62.77777777777777,41.198887532220866,80.5095645095645,60.55555555555555,41.67233275076412,81.8435123337084,52.77777777777777,28.96214896214896,69.50278116944783,53.33333333333333,32.18437118437118,70.05833672500339,61.11111111111111,42.29358296024962,79.2161172161172,57.222222222222214,36.42938542938543,73.62922262922262,52.77777777777777,28.96214896214896,69.50278116944783,52.77777777777777,28.96214896214896,69.50278116944783,59.99999999999999,36.156288156288156,76.0710647377314,53.33333333333333,29.517704517704516,69.50278116944783,58.33333333333333,37.12534016455585,72.89338185416617,60.55555555555555,39.22846289512956,78.9736806403473,61.1111111111111,37.789987789987784,75.73490706824039,67.22222222222221,41.64902998236331,82.72256138922805,64.44444444444444,37.4390177723511,80.21558688225355,62.77777777777777,40.283136616469946,81.16890516890516,60.55555555555555,38.24867724867725,72.08533441866774,75.10904158188552,50.68112298601896,85.52489356417675,71.66666666666666,48.509141548357235,84.15155577900674
Wetland Species,56.94915254237288,40.893582987301826,71.33826846688262,65.33898305084746,48.363892449635216,81.19809923100053,61.16949152542372,45.556055642596014,76.99841257667778,64.32203389830508,47.95414489133332,78.54591293275242,69.1864406779661,49.21969184023022,82.37132314899014,61.61016949152542,43.908110832338146,73.93310301086971,59.91525423728813,43.34313908092572,73.36813125945729,59.52542372881356,43.055400830475605,73.99146273024638,67.91525423728814,49.989018075264596,81.903808207791,62.06779661016949,44.91225395851517,76.20509655404969,56.94915254237288,40.893582987301826,71.33826846688262,56.94915254237288,40.893582987301826,71.33826846688262,56.94915254237288,40.893582987301826,71.33826846688262,58.67796610169491,41.75718266446083,74.11470107382371,61.1864406779661,45.95057684090585,78.4013466316557,57.79661016949152,42.47415872041993,73.46094804718932,59.06779661016949,42.986668809201205,73.58201342249198,69.30508474576271,51.62366965038949,81.7401397760321,72.22033898305085,54.380665330017266,84.43368916449674,68.40677966101694,50.11514930178937,81.60064373424294,61.94915254237288,43.92805101179976,74.43160749741008,67.96610169491525,50.69237464651223,82.19222795593683,79.14437154961784,56.153117964875364,88.84927704167698,77.11864406779661,55.18245751147047,87.96348804623979
"Grassland, Open, or Agricult Assoc",45.17241379310345,25.329541672874647,62.66723166872628,51.382940108892925,29.47319026804679,68.72726607785634,46.11978221415608,25.7084890412957,63.29050036678722,64.96188747731398,37.30168255138672,78.48391884337337,51.34083484573503,30.655461736190833,68.63737529404345,45.17241379310345,25.329541672874647,62.66723166872628,45.17241379310345,25.329541672874647,62.66723166872628,46.551361161524504,26.788224817984386,64.36073012073867,47.037582332429295,26.828155418679405,64.69039026822328,46.62504537205082,27.086889588117298,65.34323987105027,45.17241379310345,25.329541672874647,62.66723166872628,45.17241379310345,25.329541672874647,62.71155299836617,45.17241379310345,25.329541672874647,62.71155299836617,49.321839080459775,28.4717473196175,66.90655254144099,47.64609800362977,28.3084890412957,64.91137608549576,55.75136116152451,34.75070997825348,72.62937202144835,57.758620689655174,32.79851250845165,74.05825141727779,66.17241379310346,37.76607883621644,78.86433409375766,52.69872958257714,31.556390528760492,69.30239077391961,60.51978221415608,34.931873413156524,77.36075828224638,45.435571687840294,25.59269956761149,62.78178275231761,63.96188747731398,36.203938190484465,78.01448054173693,72.41379310344828,44.10094709390108,86.78936763745133,72.41379310344828,44.10094709390108,86.78936763745133
Mature Forest and Peatland Species,52.5,37.10775335775336,70.45711233211233,65.625,46.391941391941394,76.42933455433456,66.875,46.87271062271063,75.79899267399267,63.125,45.00305250305251,75.84401709401709,56.25,39.6771978021978,75.42735042735042,52.5,37.10775335775336,70.45711233211233,52.5,37.10775335775336,70.45711233211233,52.5,37.10775335775336,70.45711233211233,55.625,38.01053113553114,74.10790598290598,52.5,37.10775335775336,70.45711233211233,52.5,37.10775335775336,70.45711233211233,52.5,37.10775335775336,70.45711233211233,54.375,38.35775335775336,70.45711233211233,55,40.649420024420024,71.91544566544566,53.125,38.899420024420024,72.248778998779,53.75,39.191086691086696,72.54044566544566,63.125,45.649420024420024,78.373778998779,69.375,45.44948107448108,79.42460317460318,58.75,40.51053113553114,75.7051282051282,65,44.399420024420024,80.08644133644134,52.5,37.10775335775336,70.45711233211233,66.875,45.07249694749695,76.63766788766789,70.625,49.573412698412696,82.58928571428571,70.625,49.573412698412696,82.58928571428571
Forest Openings and Young Forest Species,45.5,22.888999888999887,63.00502304712831,58,32.946476914897964,73.24241197399093,65.5,42.58921195763301,77.2151392467182,55.3,30.951605120026173,70.0402404612931,47,23.13185703185703,63.59073733284259,45.5,22.888999888999887,63.00502304712831,45.5,22.888999888999887,63.00502304712831,45.5,22.888999888999887,63.00502304712831,46.026315789473685,23.66594224488961,64.03259196943408,46.5,24.36519036519036,64.95740399950927,45.5,22.888999888999887,63.00502304712831,45.5,22.888999888999887,63.00502304712831,47,23.125841994263045,64.08397041554936,45.5,22.888999888999887,63.00502304712831,45.5,23.46042846042846,63.57645161855688,46.5,24.23185703185703,64.6907373328426,52.5,27.81590047379521,69.90502304712831,66.7,41.570723428618166,77.28864352022246,47.5,23.187412587412584,63.64629288839815,55.5,31.992090949985688,73.2907373328426,45.5,22.888999888999887,63.00502304712831,59.5,33.32413259255364,71.97924181082075,67,44.738122696017435,79.37444660602556,67,44.738122696017435,79.37444660602556
Bats,26.5,13.077777777777778,42.622612681436216,32,19.27777777777778,46.23372379254732,28.1,15.482905982905983,42.833723792547325,28.1,14.106349206349206,42.778168236991775,26.5,13.577777777777778,42.622612681436216,26.5,13.077777777777778,42.622612681436216,26.5,13.077777777777778,42.622612681436216,26.5,13.077777777777778,42.622612681436216,26.5,13.577777777777778,42.622612681436216,26.5,13.577777777777778,42.622612681436216,27,13.10718954248366,42.6520244461421,42.3,27.16358543417367,56.359213988625754,26.5,13.077777777777778,42.622612681436216,26.5,13.077777777777778,42.622612681436216,26.5,13.577777777777778,42.622612681436216,27.5,14.877777777777778,43.92261268143621,26.5,13.077777777777778,42.622612681436216,32,18.71147741147741,46.37917833800187,26.5,13.577777777777778,42.622612681436216,28,14.90718954248366,43.9520244461421,27,13.10718954248366,42.6520244461421,33,21.90755584284996,46.23372379254732,44.3,30.479824750412988,57.859213988625754,44.3,30.479824750412988,57.859213988625754
Forest Trees,16.875,2.46031746031746,35.53769841269841,17.5,5.0892857142857135,39.21031746031746,23.125,6.980158730158729,42.24007936507937,18.75,5.529761904761905,39.523809523809526,17.5,2.58531746031746,35.66269841269841,16.875,2.46031746031746,35.53769841269841,16.875,2.46031746031746,35.53769841269841,16.875,2.46031746031746,35.53769841269841,17.5,2.58531746031746,35.66269841269841,16.875,2.46031746031746,35.53769841269841,16.875,3.3531746031746024,35.7281746031746,16.875,3.3531746031746024,35.7281746031746,32.5,8.515873015873016,44.31944444444444,16.875,2.46031746031746,35.53769841269841,16.875,2.46031746031746,35.53769841269841,16.875,2.46031746031746,35.53769841269841,18.75,3.08531746031746,38.079365079365076,23.125,6.355158730158729,42.24007936507937,17.5,2.58531746031746,35.66269841269841,19.375,2.529761904761904,38.68055555555556,24.375,6.6269841269841265,41.9265873015873,18.75,5.529761904761905,39.523809523809526,33.75,13.728174603174603,52.105158730158735,33.75,13.728174603174603,52.105158730158735
