Ecological.Group,Wt.Best.guess_1,Wt.Lower_1,Wt.Upper_1,Wt.Best.guess_2,Wt.Lower_2,Wt.Upper_2,Wt.Best.guess_3,Wt.Lower_3,Wt.Upper_3,Wt.Best.guess_4,Wt.Lower_4,Wt.Upper_4,Wt.Best.guess_5,Wt.Lower_5,Wt.Upper_5,Wt.Best.guess_6,Wt.Lower_6,Wt.Upper_6,Wt.Best.guess_7,Wt.Lower_7,Wt.Upper_7,Wt.Best.guess_8,Wt.Lower_8,Wt.Upper_8,Wt.Best.guess_9,Wt.Lower_9,Wt.Upper_9,Wt.Best.guess_10,Wt.Lower_10,Wt.Upper_10,Wt.Best.guess_11,Wt.Lower_11,Wt.Upper_11,Wt.Best.guess_12,Wt.Lower_12,Wt.Upper_12,Wt.Best.guess_13,Wt.Lower_13,Wt.Upper_13,Wt.Best.guess_14,Wt.Lower_14,Wt.Upper_14,Wt.Best.guess_15,Wt.Lower_15,Wt.Upper_15,Wt.Best.guess_16,Wt.Lower_16,Wt.Upper_16,Wt.Best.guess_17,Wt.Lower_17,Wt.Upper_17,Wt.Best.guess_18,Wt.Lower_18,Wt.Upper_18,Wt.Best.guess_19,Wt.Lower_19,Wt.Upper_19,Wt.Best.guess_20,Wt.Lower_20,Wt.Upper_20,Wt.Best.guess_21,Wt.Lower_21,Wt.Upper_21,Wt.Best.guess_22,Wt.Lower_22,Wt.Upper_22,Wt.Best.guess_23,Wt.Lower_23,Wt.Upper_23
Migratory Fish,24.179104477611936,16.358208955223876,25.61194029850747,18.80597014925373,11.778251599147126,18.140724946695094,37.61194029850746,29.185949949500614,28.882504769386152,88.65671641791045,68.14292975634874,81.26880854462759,86.59701492537313,72.7083380092021,94.75116148580406,211.97014925373134,187.41703248463563,197.99319240899572,37.61194029850746,16.392772977219163,49.2577712939064,24.179104477611936,26.260576815172264,26.31534059028167,53.731343283582085,31.693412636067777,52.82280327684883,97.70149253731341,83.00684547188867,104.10297385254181,0,0,0,0,0,0,46.74626865671641,26.806419032656265,43.80787790371451,26.865671641791042,6.601279317697227,23.795309168443495,32.23880597014925,19.335256490655965,34.22551109996237,95.1044776119403,53.42475591964986,92.54988216810682,53.731343283582085,39.3266748961957,58.88676916171025,110.77611940298506,75.25799573560766,104.68764448434518,99.40298507462686,62.26057681517226,95.87610818090002,138.53731343283582,117.70620581304004,147.87696105936482,45.67164179104477,33.62091796655818,54.67354954550555,165.47957193216885,157.05842056071816,146.30441459084662,228.08955223880594,215.66171166031216,193.12218131799216
Riparian Species,38.81818181818182,40.09414115296469,54.13886113886114,49.27272727272727,41.04652210534564,60.39138639138639,55.45454545454546,52.209411503529154,64.17748264807088,54.00000000000001,51.139383492324676,61.334939570233686,46.81818181818182,45.5546218487395,50.36457007045242,56.36363636363637,63.02266361089892,52.42950513538749,17.272727272727273,23.976911976911982,22.95238095238095,25.81818181818182,30.22052457346575,36.733488733488734,13.181818181818183,23.326457855869627,14.615991851285969,0,0,0,0,0,0,0,0,0,5.454545454545455,14.343434343434346,9.379509379509381,17.090909090909093,14.541615247497605,21.077589077589078,14.81818181818182,19.46702317290553,16.952380952380953,37.27272727272727,25.871239871239872,42.6078366078366,56.81818181818182,40.669559198970965,61.942103647986,72.72727272727273,62.61616814557991,75.04362304362304,58.18181818181819,34.136752136752136,60.896436896436896,42.727272727272734,33.02164502164503,39.685425685425685,67.72727272727273,48.85392385392385,65.01043401043403,97.00387028842187,71.22769004437865,94.56685234036934,93.63636363636364,73.17876894347482,85.70163170163171
Aquatic Species,22.22222222222222,19.951159951159944,15.734093067426391,15.999999999999998,21.530864197530867,11.259259259259256,24.444444444444446,39.241351241351246,7.092117758784424,22.22222222222222,30.134310134310137,20.130240130240125,40,48.94695428028762,44.02713336046669,31.111111111111114,50.840735154460646,49.362924657042306,0,0,0,2.2222222222222223,12.888888888888893,2.2222222222222223,33.333333333333336,53.32573599240266,38.853344186677504,17.77777777777778,29.868945868945865,16.50576583909917,0,0,0,0,0,0,28.88888888888889,28.776556776556774,26.273134273134275,2.2222222222222223,2.2222222222222254,0,22.22222222222222,32.652764809627556,13.562402738873326,31.11111111111111,41.0652557319224,37.88359788359787,33.33333333333333,35.3113553113553,24.928503595170262,57.77777777777778,50.7475240808574,52.879120879120876,46.666666666666664,33.907475240808566,42.85122285122284,40,45.283950617283956,46.664495997829334,31.11111111111111,37.146113146113144,10.330212996879661,89.32505521643102,86.87589609548,64.0884495789157,75.55555555555556,78.18797034483309,58.595098438235674
Wetland Species,41.94915254237288,37.351547311666955,49.29915382058951,21.101694915254235,23.312363276470947,28.300720548975782,36.86440677966102,35.302809520157474,36.038222329348955,61.1864406779661,41.63054426464197,55.16527341053762,23.305084745762713,15.072639225181597,12.974172719935435,14.830508474576272,12.247780468119451,10.149313962873288,12.88135593220339,10.809089215868878,13.265971316818774,54.83050847457627,45.47717543981384,52.82769870454186,25.59322033898305,20.093354856066718,24.33414043583535,0,0,0,0,0,0,0,0,0,8.64406779661017,4.317998385794995,13.882163034705407,21.186440677966097,25.284969268020117,35.31539082386539,4.23728813559322,7.9028786655905305,10.613397901533492,10.593220338983048,10.465429109496911,11.218724778046811,61.77966101694915,53.6504333154383,52.009356545747366,76.35593220338983,67.43541171357721,65.47710348807058,57.28813559322034,46.107831572437746,51.31187633680156,25,15.172340122489672,15.466695152637332,55.08474576271186,48.993958296052014,54.26979744527102,110.97609503622485,76.29767488786767,87.55504287397181,100.84745762711863,71.44437262084321,83.12609789678582
"Grassland, Open, or Agricult Assoc",55.89473684210526,37.29283735654926,54.54030968217054,8.526315789473683,3.410526315789473,5.609418282548476,178.10526315789474,107.74926790660862,142.35018457182383,55.515789473684215,47.933280569845664,53.73129262785448,0,0,0,0,0,0,12.410526315789474,13.128148305987647,15.24148606811146,16.786516853932586,13.487523712242814,18.208427395473006,13.073684210526316,15.81613123718387,24.084073820915926,0,0,0,0,0,0.398891966759002,0,0,0.398891966759002,37.3448275862069,28.27985082068567,38.15388785443232,22.263157894736842,26.810526315789474,20.197299750925296,95.21052631578948,84.79051474840948,89.65926317449863,113.27586206896552,67.22073752019305,102.51917773696358,189,111.92883447007613,145.77392182528243,67.73684210526316,56.0416397029726,59.71643194673993,138.1263157894737,86.42098566253692,132.24173952168087,2.3684210526315788,2.3684210526315788,1.0309597523219807,169.10526315789474,97.86956865848832,138.12523985709583,245.1724137931035,168.94264878923786,217.0992237185255,245.17241379310346,168.94264878923786,217.0992237185255
Mature Forest and Peatland Species,131.25,92.84188034188034,59.722222222222214,143.75,97.64957264957263,53.41880341880342,106.25,78.95299145299145,53.869047619047606,37.5,25.694444444444443,49.702380952380935,0,0,0,0,0,0,0,0,0,31.25,9.027777777777777,36.507936507936506,0,0,0,0,0,0,0,0,0,18.75,12.5,0,25,35.41666666666667,14.58333333333334,6.25,17.91666666666667,17.91666666666666,12.5,20.833333333333336,20.83333333333334,106.25,85.41666666666666,79.16666666666666,168.75,83.41727716727718,89.67490842490844,62.5,34.02777777777778,52.480158730158735,125,72.91666666666666,96.29329004329003,0,0,0,143.75,79.6474358974359,61.80555555555556,181.25,124.6565934065934,121.3217338217338,181.25,124.6565934065934,121.3217338217338
Forest Openings and Young Forest Species,25,20.114954051796154,20.47477785372522,40,39.40042413726624,28.42023239917977,19.6,16.125210462052568,14.070434828329565,3,0.48571428571428615,1.1714285714285708,0,0,0,0,0,0,0,0,0,1.0526315789473684,1.5538847117794483,2.055137844611529,2,2.952380952380952,3.904761904761905,0,0,0,0,0,0,3,0.47368421052631576,2.157894736842105,0,0,0,0,1.142857142857143,1.142857142857143,2,2.685714285714286,3.371428571428571,14,9.853801169590643,13.8,42.4,37.36344707923655,28.567240946188317,4,0.5968253968253961,1.2825396825396822,20,18.206182121971597,20.571428571428573,0,0,0,28,20.87026540710751,17.948437527384897,43,43.698245614035095,32.73884711779449,43,43.698245614035095,32.73884711779449
Bats,16.5,18.6,10.833333333333332,4.800000000000001,7.215384615384618,0.6333333333333333,4.800000000000001,3.0857142857142854,0.4666666666666672,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5,0,1.5,0.08823529411764702,0.08823529411764675,47.400000000000006,42.25742296918767,41.20980392156862,0,0,0,0,0,0,0,1.5,0,3,5.4,3.9000000000000004,0,0,0,16.5,16.9010989010989,11.26969696969697,0,1.5,0,4.5,5.488235294117647,3.988235294117647,1.5,0.08823529411764702,0.08823529411764675,19.5,26.48933419521655,10.833333333333332,53.400000000000006,52.20614091790563,45.70980392156862,53.400000000000006,52.20614091790563,45.70980392156862
Forest Trees,1.875,7.886904761904761,11.017857142857148,18.75,13.559523809523807,20.10714285714286,5.625,9.208333333333334,11.958333333333336,1.875,0.375,0.375,0,0,0,0,0,0,0,0,0,1.875,0.375,0.375,0,0,0,0,2.678571428571427,0.5714285714285747,0,2.678571428571427,0.5714285714285747,46.875,18.166666666666664,26.345238095238095,0,0,0,0,0,0,0,0,0,5.625,1.875,7.6250000000000036,18.75,11.684523809523807,20.10714285714286,1.875,0.375,0.375,7.5,0.20833333333333326,9.428571428571432,22.5,12.499999999999998,19.166666666666664,5.625,9.208333333333334,11.958333333333336,50.625,33.80357142857143,49.70238095238096,50.625,33.80357142857143,49.70238095238096
