Ecological.Group,Wt.Best.guess,Wt.Lower,Wt.Upper
Migratory Fish,37.208955223880594,19.884239876384413,57.44820317153388
Riparian Species,50.68181818181819,33.84476960947549,64.36595104242163
Aquatic Species,52.77777777777777,28.96214896214896,69.50278116944783
Wetland Species,56.94915254237288,40.893582987301826,71.33826846688262
"Grassland, Open, or Agricult Assoc",45.17241379310345,25.329541672874647,62.66723166872628
Mature Forest and Peatland Species,52.5,37.10775335775336,70.45711233211233
Forest Openings and Young Forest Species,45.5,22.888999888999887,63.00502304712831
Bats,26.5,13.077777777777778,42.622612681436216
Forest Trees,16.875,2.46031746031746,35.53769841269841
