"","Baseline","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22"
"Aquatic Species",9,8,9,8,8,9,8,9,9,9,8,7,7,9,8,9,9,7,7,8,7,7,8
"Bats",10,10,10,9,9,9,9,9,9,9,8,10,8,9,9,9,9,9,8,8,7,9,9
"Forest Openings and Young Forest Species",10,10,10,10,10,10,10,10,10,10,9,9,9,10,10,9,10,9,9,9,8,9,9
"Forest Trees",8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,8,8,7,7,7,6,6,6
"Grassland, Open, or Agricult Assoc",13,12,12,12,12,12,12,12,12,12,11,11,11,12,12,12,13,11,11,11,10,11,12
"Mature Forest and Peatland Species",8,8,8,8,8,8,8,8,8,8,7,7,7,8,8,8,8,7,7,7,6,7,7
"Migratory Fish",12,12,12,12,12,12,12,12,12,12,12,10,9,12,11,11,12,11,11,11,11,10,12
"Riparian Species",12,12,11,12,10,12,11,12,11,12,11,10,10,12,11,11,12,11,11,11,10,11,11
"Wetland Species",13,13,13,13,13,13,13,13,13,13,12,11,11,12,13,12,12,12,12,11,11,12,12
