Ecological.Group,Wt.Best.guess_1,Wt.Lower_1,Wt.Upper_1,Wt.Best.guess_2,Wt.Lower_2,Wt.Upper_2,Wt.Best.guess_3,Wt.Lower_3,Wt.Upper_3,Wt.Best.guess_4,Wt.Lower_4,Wt.Upper_4,Wt.Best.guess_5,Wt.Lower_5,Wt.Upper_5,Wt.Best.guess_6,Wt.Lower_6,Wt.Upper_6,Wt.Best.guess_7,Wt.Lower_7,Wt.Upper_7,Wt.Best.guess_8,Wt.Lower_8,Wt.Upper_8,Wt.Best.guess_9,Wt.Lower_9,Wt.Upper_9,Wt.Best.guess_10,Wt.Lower_10,Wt.Upper_10,Wt.Best.guess_11,Wt.Lower_11,Wt.Upper_11,Wt.Best.guess_12,Wt.Lower_12,Wt.Upper_12,Wt.Best.guess_13,Wt.Lower_13,Wt.Upper_13,Wt.Best.guess_14,Wt.Lower_14,Wt.Upper_14,Wt.Best.guess_15,Wt.Lower_15,Wt.Upper_15,Wt.Best.guess_16,Wt.Lower_16,Wt.Upper_16,Wt.Best.guess_17,Wt.Lower_17,Wt.Upper_17,Wt.Best.guess_18,Wt.Lower_18,Wt.Upper_18,Wt.Best.guess_19,Wt.Lower_19,Wt.Upper_19,Wt.Best.guess_20,Wt.Lower_20,Wt.Upper_20,Wt.Best.guess_21,Wt.Lower_21,Wt.Upper_21,Wt.Best.guess_22,Wt.Lower_22,Wt.Upper_22,Wt.Best.guess_23,Wt.Lower_23,Wt.Upper_23
Aquatic Species,4.736111111111111,4.2520909645909635,3.35332858499525,3.6867999999999994,4.9612493827160495,2.594414814814814,3.7687222222222228,6.050035327635329,1.0934272554605886,2.9166666666666665,3.9551282051282057,2.6420940170940166,5.375,6.577246981413649,5.916146045312711,3.175666666666667,5.1895680408915705,5.038720534367593,0,0,0,0.2888888888888889,1.6755555555555561,0.2888888888888889,4.360833333333334,6.976339411206078,5.082988753222084,3.3333333333333335,5.600427350427349,3.094831094831094,0,0,0,0,0,0,4.6337777777777776,4.6157597069597065,4.214210737410737,0.27605555555555555,0.27605555555555594,0,3.125,4.591795051353875,1.9072128851540615,4.983222222222222,6.577627336860671,6.0680052910052895,6.640833333333333,7.03490476190476,4.966381128747796,7.6049999999999995,6.679642857142856,6.960214285714285,6.3385,4.605482824582824,5.820267343767343,6.438000000000001,7.288451851851853,7.510650630850632,5.096777777777778,6.085461986161985,1.6923471442138105,14.61119703193568,14.210579910657984,10.483161325788505,12.196177777777779,12.621102173062958,9.458420789900003
Bats,4.688750000000001,5.285500000000001,3.078472222222222,1.47472,2.2168066666666673,0.19458111111111107,0.98672,0.63432,0.09593111111111122,0,0.2625,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0.26165,0,0.375,0.022058823529411756,0.022058823529411686,12.798000000000002,11.409504201680672,11.12664705882353,0,0,0,0,0,0,0,0.24845,0,0.5625,1.0125,0.7312500000000001,0,0,0,4.38295,4.489495238095238,2.9936071717171715,0,0.26325,0,0.8149500000000001,0.9939194117647059,0.7222694117647058,0.3219,0.01893529411764705,0.01893529411764699,4.25945,5.7861535660418015,2.366361111111111,11.646421333333334,11.386043320548733,9.96920665795207,11.493104,11.236153689291102,9.837968732026143
Forest Openings and Young Forest Species,10.65625,8.573999164578112,8.727374060150376,18.433999999999997,18.157685463659146,13.097464101161997,6.043660000000001,4.972208645973909,4.338618579315422,0.7875000000000001,0.1275000000000001,0.30749999999999983,0,0,0,0,0,0,0,0,0,0.2736842105263158,0.4040100250626566,0.5343358395989976,0.5233,0.7724904761904761,1.0216809523809525,0,0,0,0,0,0,1.4489999999999998,0.22878947368421051,1.0422631578947366,0,0,0,0,0.28394285714285716,0.28394285714285716,0.5625,0.755357142857143,0.9482142857142856,4.4849000000000006,3.1566652046783625,4.4208300000000005,16.894280000000002,14.887465488721805,11.382617155008736,1.053,0.15711428571428554,0.33762857142857133,5.433,4.945709373433584,5.588228571428572,0,0,0,9.174199999999999,6.8381424606387755,5.880805555847662,14.067306666666667,14.295735391812869,10.710404705096076,13.88212,14.10754161403509,10.569409403508775
Forest Trees,0.5328125,2.2411954365079363,3.1309077380952397,5.760625,4.165937698412697,6.177584523809525,1.1563125,1.8929263888888892,2.4582347222222225,0.328125,0.065625,0.065625,0,0,0,0,0,0,0,0,0,0.325,0.065,0.065,0,0,0,0,0.6696428571428568,0.14285714285714368,0,0.7232142857142854,0.1542857142857152,15.09375,5.849666666666666,8.483166666666666,0,0,0,0,0,0,0,0,0,1.2013125,0.4004375,1.6284458333333343,4.980625000000001,3.1037990079365074,5.341127380952383,0.3290625,0.0658125,0.0658125,1.35825,0.037729166666666654,1.7075142857142864,4.8285,2.6824999999999997,4.113166666666666,1.2286875,2.0114069444444445,2.6120986111111115,11.041200000000002,7.37248380952381,10.839978835978838,10.895850000000001,7.27543,10.69727777777778
"Grassland, Open, or Agricult Assoc",5.2944736842105264,3.53246042738425,5.166179333783376,0.8731894736842104,0.34927578947368415,0.57446675900277,12.204168421052632,7.383219279778394,9.754150980604862,3.2384210526315793,2.7961080332409973,3.1343254032915113,0,0,0,0,0,0,0.6205263157894737,0.6564074152993824,0.762074303405573,0.9698876404494383,0.7792791478184737,1.0520424717384402,0.7601621052631579,0.9196201640464798,1.4003550922761447,0,0,0,0,0,0.03590027700831019,0,0,0.042814404432132885,2.6622712643678157,2.016039142950214,2.719948271933753,1.2291736842105263,1.480238947368421,1.1151153606927533,5.9506578947368425,5.299407171775592,5.603703948406165,8.063982758620691,4.785369614354188,7.298226352896952,16.7349,9.910676465467073,12.907470922507509,3.962605263157895,3.278435922623897,3.493411268884286,8.338225263157895,5.216946834495145,7.982993009125468,0.16942105263157894,0.16942105263157894,0.07374798761609902,12.312742105263158,7.125992037989711,10.057052186483878,17.823852873563222,12.282005424274788,15.782952750097015,17.58921379310345,12.120321052248345,15.575180752286396
Mature Forest and Peatland Species,11.1890625,7.9147702991452995,5.091319444444444,13.249437499999999,9.00036111111111,4.923611111111112,6.5524375,4.869030982905984,3.322104166666666,1.96875,1.3489583333333333,2.609374999999999,0,0,0,0,0,0,0,0,0,1.625,0.4694444444444444,1.898412698412698,0,0,0,0,0,0,0,0,0,1.81125,1.2075,0,1.6039999999999999,2.2723333333333335,0.935666666666667,0.3105625,0.8902791666666668,0.8902791666666664,0.703125,1.171875,1.1718750000000004,6.807437500000001,5.472645833333333,5.072208333333333,13.4476875,6.6475228174603185,7.146193452380953,3.290625,1.7915625,2.763080357142857,6.79125,3.9615625,5.231614448051947,0,0,0,9.4199375,5.219296474358974,4.050118055555555,11.859066666666667,8.156197802197802,7.938000162800162,11.702950000000001,8.048826923076923,7.833501709401709
Migratory Fish,3.4354477611940295,2.3242288557213926,3.6390298507462697,2.8889104477611935,1.8093357498223175,2.786717697228145,3.8658805970149253,2.999829222309505,2.968640115213407,7.757462686567164,5.962506353680514,7.111020747654915,7.757649253731342,6.513455279991021,8.48812488310328,14.424568656716417,12.753729060579454,13.47343674343216,2.8208955223880596,1.2294579732914372,3.69433284704298,2.0955223880597016,2.2759166573149296,2.280662851157745,4.686268656716417,2.7641938054090445,4.607028825795832,12.212686567164177,10.375855683986083,13.012871731567726,0,0,0,0,0,0,4.998734328358208,2.866499741892043,4.684522410503871,2.224925373134328,0.546695948827292,1.9706481876332622,3.022388059701492,1.8126802959989965,3.208641665621472,10.155573134328359,5.7048735196199445,9.882784917517675,7.136417910447761,5.2232378707963925,7.8211443908278175,9.72060447761194,6.603889125799571,9.186340803501288,9.000940298507462,5.637695230613848,8.681581595780496,14.865053731343282,12.629875883739198,15.867197921669847,4.98810447761194,3.6719645905809295,5.971262836194964,18.04536345301198,17.12704625279014,15.95433385067117,24.54547701492537,23.208075664138395,20.782521672233532
Riparian Species,8.273125,8.5450638332256,11.53834478021978,11.35366818181818,9.458144856124267,13.915685209235209,8.5497045454545475,8.049386018556607,9.894563387266327,7.087500000000001,6.712044083367614,8.050210818593172,6.291193181818182,6.1214023109243705,6.767739103217044,5.753318181818182,6.433038388082507,5.351741736694677,1.9431818181818183,2.697402597402598,2.582142857142857,3.356363636363637,3.9286681945505473,4.775353535353536,1.7245113636363638,3.051683848994144,1.9121371339444868,0,0,0,0,0,0,0,0,0,0.874909090909091,2.300686868686869,1.5044733044733045,2.123118181818182,1.80643215412039,2.6183635031635033,2.0838068181818183,2.7375501336898402,2.3839285714285716,5.970159090909092,4.143925846375847,6.824710228660228,11.319602272727273,8.102392931414991,12.340415599270012,9.572727272727272,8.241853132161955,9.877616883116882,7.902545454545455,4.636624358974359,8.271258541458542,6.876954545454547,5.314833766233767,6.387369264069265,11.095420454545456,8.003494075369074,10.650334351759355,15.867246409311461,11.650950686192498,15.468615260155348,15.11478181818182,11.812516882855705,13.833957389277392
Wetland Species,7.152330508474576,6.368438816639216,8.405505726410512,3.8898864406779654,4.297401046384654,5.2169548259981955,4.54685593220339,4.354248526216223,4.444954342101901,6.4245762711864405,4.371207147787407,5.79235370810645,2.5052966101694913,1.6203087167070216,1.3947235673930591,1.2110593220338983,1.0001537530266345,0.8287929782082326,1.159322033898305,0.9728180294281992,1.1939374185136897,5.702372881355933,4.729626245740639,5.494080665272354,2.678586440677966,2.1029705192359427,2.5468111380145277,0,0,0,0,0,0,0,0,0,1.1092067796610168,0.5540855528652138,1.7813591606133976,2.105508474576271,2.5128202458558393,3.509643540075743,0.47669491525423724,0.8890738498789347,1.1940072639225179,1.357415254237288,1.3410400860909342,1.4375673930589186,9.846442372881356,8.550806061814557,8.289251246261216,8.040279661016948,7.1009488534396805,6.894738997293832,6.2249288135593215,5.010076978661086,5.575548482756858,3.2190000000000003,1.9535905141717702,1.9914916678535828,7.219406779661016,6.421148174280577,7.112599653177219,14.52218382831367,9.98421200559318,11.457336170430787,13.023037288135592,9.226040502765208,10.734571777999335
