Ecological.Group,Wt.Best.guess,Wt.Lower,Wt.Upper,Wt.Best.guess_1,Wt.Lower_1,Wt.Upper_1,Wt.Best.guess_2,Wt.Lower_2,Wt.Upper_2,Wt.Best.guess_3,Wt.Lower_3,Wt.Upper_3,Wt.Best.guess_4,Wt.Lower_4,Wt.Upper_4,Wt.Best.guess_5,Wt.Lower_5,Wt.Upper_5,Wt.Best.guess_6,Wt.Lower_6,Wt.Upper_6,Wt.Best.guess_7,Wt.Lower_7,Wt.Upper_7,Wt.Best.guess_8,Wt.Lower_8,Wt.Upper_8,Wt.Best.guess_9,Wt.Lower_9,Wt.Upper_9,Wt.Best.guess_10,Wt.Lower_10,Wt.Upper_10,Wt.Best.guess_11,Wt.Lower_11,Wt.Upper_11,Wt.Best.guess_12,Wt.Lower_12,Wt.Upper_12,Wt.Best.guess_13,Wt.Lower_13,Wt.Upper_13,Wt.Best.guess_14,Wt.Lower_14,Wt.Upper_14,Wt.Best.guess_15,Wt.Lower_15,Wt.Upper_15,Wt.Best.guess_16,Wt.Lower_16,Wt.Upper_16,Wt.Best.guess_17,Wt.Lower_17,Wt.Upper_17,Wt.Best.guess_18,Wt.Lower_18,Wt.Upper_18,Wt.Best.guess_19,Wt.Lower_19,Wt.Upper_19,Wt.Best.guess_20,Wt.Lower_20,Wt.Upper_20,Wt.Best.guess_21,Wt.Lower_21,Wt.Upper_21,Wt.Best.guess_22,Wt.Lower_22,Wt.Upper_22,Wt.Best.guess_23,Wt.Lower_23,Wt.Upper_23
Migratory Fish,37.208955223880594,19.884239876384413,57.44820317153388,40.64440298507462,22.208468732105807,61.08723302228015,40.097865671641785,21.69357562620673,60.23492086876203,41.074835820895515,22.884069098693917,60.41684328674729,44.96641791044776,25.846746230064927,64.5592239191888,44.96660447761194,26.397695156375434,65.93632805463716,51.63352388059701,32.637968936963865,70.92163991496605,40.02985074626865,21.11369784967585,61.14253601857686,39.30447761194029,22.160156533699343,59.728866022691626,41.89522388059701,22.648433681793456,62.05523199732971,49.42164179104477,30.260095560370495,70.4610749031016,37.208955223880594,19.884239876384413,57.44820317153388,37.208955223880594,19.884239876384413,57.44820317153388,42.207689552238804,22.750739618276455,62.13272558203776,39.43388059701492,20.430935825211705,59.41885135916714,40.231343283582085,21.69692017238341,60.656844837155354,47.36452835820895,25.589113396004358,67.33098808905156,44.345373134328355,25.107477747180805,65.2693475623617,46.929559701492536,26.488129002183985,66.63454397503517,46.20989552238805,25.52193510699826,66.12978476731438,52.074008955223874,32.51411576012361,73.31540109320373,42.197059701492535,23.556204466965344,63.41946600772885,55.254318676892574,37.01128612917455,73.40253702220505,61.75443223880596,43.092315540522804,78.23072484376742
Riparian Species,50.68181818181819,33.84476960947549,64.36595104242163,58.95494318181819,42.38983344270109,75.90429582264142,62.035486363636366,43.302914465599756,78.28163625165683,59.23152272727273,41.894155628032095,74.26051442968796,57.769318181818186,40.55681369284311,72.4161618610148,56.97301136363637,39.96617192039986,71.13369014563867,56.43513636363637,40.277807997558,69.7176927791163,52.62500000000001,36.54217220687809,66.94809389956448,54.038181818181826,37.77343780402604,69.14130457777516,52.406329545454554,36.89645345846964,66.27808817636611,50.68181818181819,33.84476960947549,64.36595104242163,50.68181818181819,33.84476960947549,64.36595104242163,50.68181818181819,33.84476960947549,64.36595104242163,51.55672727272728,36.14545647816236,65.87042434689494,52.80493636363637,35.65120176359588,66.98431454558514,52.76562500000001,36.58231974316533,66.7498796138502,56.65197727272728,37.98869545585134,71.19066127108185,62.00142045454546,41.94716254089048,76.70636664169164,60.25454545454546,42.08662274163745,74.24356792553851,58.58436363636364,38.48139396844985,72.63720958388016,57.55877272727273,39.15960337570926,70.75332030649089,61.77723863636364,41.84826368484457,75.01628539418098,66.54906459112965,45.495720295667994,79.83456630257697,65.79660000000001,45.657286492331195,78.19990843169901
Aquatic Species,52.77777777777777,28.96214896214896,69.50278116944783,57.513888888888886,33.21423992673992,72.85610975444308,56.46457777777777,33.92339834486501,72.09719598426264,56.546499999999995,35.01218428978429,70.59620842490841,55.694444444444436,32.91727716727716,72.14487518654184,58.15277777777777,35.53939594356261,75.41892721476054,55.953444444444436,34.15171700304053,74.54150170381543,52.77777777777777,28.96214896214896,69.50278116944783,53.06666666666666,30.637704517704513,69.79167005833672,57.1386111111111,35.938488373355035,74.58576992266991,56.11111111111111,34.56257631257631,72.59761226427892,52.77777777777777,28.96214896214896,69.50278116944783,52.77777777777777,28.96214896214896,69.50278116944783,57.41155555555555,33.577908669108666,73.71699190685857,53.05383333333333,29.238204517704514,69.50278116944783,55.90277777777777,33.553944013502836,71.4099940546019,57.760999999999996,35.53977629900963,75.57078646045312,59.418611111111105,35.99705372405372,74.46916229819563,60.38277777777777,35.64179181929181,76.46299545516212,59.11627777777777,33.56763178673178,75.32304851321517,59.215777777777774,36.25060081400081,77.01343180029846,57.874555555555546,35.04761094831095,71.19512831366164,67.38897480971345,43.17272887280694,79.98594249523633,64.97395555555555,41.58325113521192,78.96120195934783
Wetland Species,56.94915254237288,40.893582987301826,71.33826846688262,64.10148305084745,47.26202180394104,79.74377419329313,60.83903898305084,45.19098403368648,76.55522329288083,61.49600847457627,45.24783151351805,75.78322280898452,63.37372881355932,45.264790135089235,77.13062217498907,59.45444915254237,42.51389170400885,72.73299203427568,58.160211864406776,41.893736740328464,72.16706144509085,58.108474576271185,41.86640101673002,72.53220588539631,62.65152542372881,45.623209233042466,76.83234913215497,59.62773898305085,42.99655350653777,73.88507960489716,56.94915254237288,40.893582987301826,71.33826846688262,56.94915254237288,40.893582987301826,71.33826846688262,56.94915254237288,40.893582987301826,71.33826846688262,58.058359322033894,41.447668540167044,73.11962762749602,59.05466101694915,43.40640323315767,74.84791200695837,57.425847457627114,41.78265683718076,72.53227573080514,58.30656779661017,42.23462307339276,72.77583585994154,66.79559491525424,49.44438904911638,79.62751971314384,64.98943220338982,47.99453184074151,78.23300746417645,63.1740813559322,45.903659965962916,76.91381694963948,60.16815254237288,42.8471735014736,73.3297601347362,64.1685593220339,47.3147311615824,78.45086812005984,71.47133637068654,50.877794992895005,82.79560463731342,69.97218983050847,50.119623490067035,82.07284024488196
"Grassland, Open, or Agricult Assoc",45.17241379310345,25.329541672874647,62.66723166872628,50.466887477313975,28.8620021002589,67.83341100250965,46.045603266787666,25.67881746234833,63.24169842772905,57.37658221415609,32.71276095265304,72.42138264933115,48.41083484573503,28.125649706115645,65.80155707201779,45.17241379310345,25.329541672874647,62.66723166872628,45.17241379310345,25.329541672874647,62.66723166872628,45.79294010889293,25.98594908817403,63.42930597213186,46.14230143355289,26.108820820693122,63.71927414046472,45.93257589836661,26.24916183692113,64.06758676100243,45.17241379310345,25.329541672874647,62.66723166872628,45.17241379310345,25.329541672874647,62.70313194573459,45.17241379310345,25.329541672874647,62.710046073158416,47.83468505747127,27.34558081582486,65.38717994066003,46.40158747731398,26.809780620243068,63.782347029419036,51.123071687840294,30.62894884465024,68.27093561713245,53.23639655172414,30.114911287228836,69.96545802162323,61.907313793103455,35.24021813834172,75.57470259123379,49.13501905626135,28.607977595498543,66.16064293761056,53.51063905626135,30.546488507369794,70.65022467785175,45.34183484573503,25.498962725506228,62.74097965634238,57.485155898366614,32.45553371086436,72.72428385521016,62.99626666666667,37.61154709714943,78.4501844188233,62.7616275862069,37.44986272512299,78.24241242101267
Mature Forest and Peatland Species,52.5,37.10775335775336,70.45711233211233,63.6890625,45.022523656898656,75.54843177655678,65.7494375,46.10811446886447,75.38072344322345,59.052437499999996,41.97678434065934,73.779216498779,54.46875,38.456711691086696,73.06648733211233,52.5,37.10775335775336,70.45711233211233,52.5,37.10775335775336,70.45711233211233,52.5,37.10775335775336,70.45711233211233,54.125,37.5771978021978,72.35552503052503,52.5,37.10775335775336,70.45711233211233,52.5,37.10775335775336,70.45711233211233,52.5,37.10775335775336,70.45711233211233,54.31125,38.31525335775336,70.45711233211233,54.104,39.380086691086696,71.392778998779,52.8105625,37.998032524420026,71.347391498779,53.203125,38.27962835775336,71.62898733211233,59.3074375,42.58039919108669,75.52932066544567,65.9476875,43.75527617521368,77.60330578449329,55.790625,38.89931585775336,73.22019268925519,59.29125,41.06931585775336,75.68872678016427,52.5,37.10775335775336,70.45711233211233,61.9199375,42.32704983211234,74.50723038766789,64.35906666666666,45.26395115995116,78.3951124949125,64.20295,45.15658028083028,78.29061404151403
Forest Openings and Young Forest Species,45.5,22.888999888999887,63.00502304712831,56.15625,31.462999053578,71.73239710727869,63.934,41.04668535265903,76.10248714829031,51.54366,27.861208534973798,67.34364162644373,46.2875,23.01649988899989,63.31252304712831,45.5,22.888999888999887,63.00502304712831,45.5,22.888999888999887,63.00502304712831,45.5,22.888999888999887,63.00502304712831,45.77368421052632,23.293009914062544,63.53935888672731,46.0233,23.661490365190364,64.02670399950927,45.5,22.888999888999887,63.00502304712831,45.5,22.888999888999887,63.00502304712831,46.949,23.117789362684096,64.04728620502304,45.5,22.888999888999887,63.00502304712831,45.5,23.172942746142745,63.288965904271166,46.0625,23.64435703185703,63.9532373328426,49.9849,26.04566509367825,67.42585304712831,62.39428,37.77646537772169,74.38764020213705,46.553,23.046114174714173,63.342651618556886,50.933,27.83470926243347,68.59325161855688,45.5,22.888999888999887,63.00502304712831,54.6742,29.72714234963866,68.88582860297598,59.56730666666667,37.18473528081276,73.71542775222439,59.38212,36.996541503034976,73.57443245063709
Bats,26.5,13.077777777777778,42.622612681436216,31.18875,18.36327777777778,45.70108490365844,27.97472,15.294584444444444,42.81719379254733,27.48672,13.712097777777778,42.71854379254733,26.5,13.340277777777777,42.622612681436216,26.5,13.077777777777778,42.622612681436216,26.5,13.077777777777778,42.622612681436216,26.5,13.077777777777778,42.622612681436216,26.5,13.337777777777777,42.622612681436216,26.5,13.339427777777777,42.622612681436216,26.875,13.099836601307189,42.64467150496563,39.298,24.48728197945845,53.749259740259745,26.5,13.077777777777778,42.622612681436216,26.5,13.077777777777778,42.622612681436216,26.5,13.326227777777778,42.622612681436216,27.0625,14.090277777777777,43.35386268143622,26.5,13.077777777777778,42.622612681436216,30.88295,17.567273015873017,45.61621985315339,26.5,13.341027777777777,42.622612681436216,27.31495,14.071697189542483,43.34488209320092,26.8219,13.096713071895424,42.64154797555386,30.75945,18.86393134381958,44.98897379254733,38.146421333333336,24.463821098326513,52.59181933938829,37.993104,24.31393146706888,52.46058141346236
Forest Trees,16.875,2.46031746031746,35.53769841269841,17.4078125,4.701512896825396,38.66860615079365,22.635625,6.626255158730157,41.71528293650793,18.0313125,4.353243849206349,37.995933134920634,17.203125,2.52594246031746,35.60332341269841,16.875,2.46031746031746,35.53769841269841,16.875,2.46031746031746,35.53769841269841,16.875,2.46031746031746,35.53769841269841,17.2,2.52531746031746,35.60269841269841,16.875,2.46031746031746,35.53769841269841,16.875,3.1299603174603168,35.68055555555556,16.875,3.183531746031745,35.691984126984124,31.96875,8.309984126984126,44.02086507936508,16.875,2.46031746031746,35.53769841269841,16.875,2.46031746031746,35.53769841269841,16.875,2.46031746031746,35.53769841269841,18.0763125,2.8607549603174602,37.16614424603175,21.855625,5.564116468253967,40.87882579365079,17.2040625,2.52612996031746,35.60351091269841,18.233249999999998,2.498046626984127,37.2452126984127,21.7035,5.14281746031746,39.650865079365076,18.1036875,4.471724404761904,38.149797023809526,27.916200000000003,9.83280126984127,46.37767724867725,27.770850000000003,9.73574746031746,46.23497619047619
